Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
inutouki-seedling,イヌトウキ苗,<p>四国の名を学名に冠する日本固有種・環境省絶滅危惧II類のイヌトウキ苗を、予約・問い合わせ品として案内します。</p><p>イヌトウキ（Angelica shikokiana Makino）は、四国の名を学名に冠する日本固有のセリ科植物です。環境省レッドリストで絶滅危惧II類（VU）に指定されるほど自然界では希少ですが、愛媛県大洲市長浜の畑で大切に栽培・継承しています。苗から育てることで、植物の背景や栽培の時間を自宅や畑でも体感できます。多年草のため一度根付けば毎年楽しめます。価格、在庫、出荷時期、栽培方法はお問い合わせください。</p>,四国ボタニカ,苗,苗,"featured, inquiry-only, new, 苗",true,Title,通常,,,,0,shopify,0,deny,manual,0,,true,true,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/srs-inutouki-2022.jpg?v=1777919185,1,イヌトウキ苗,イヌトウキ苗,,active
inutouki-tea-pills,イヌトウキ茶（丸剤）,<p>愛媛県大洲市長浜・喜多灘産の当帰を粒状で取り入れやすくした丸剤タイプです。</p><p>愛媛県大洲市長浜町（喜多灘・今坊）産のイヌトウキ（四国固有種）を使用した丸剤タイプです。粒状で扱いやすく、毎日の一杯や食事の時間にあわせて続けやすい形です。食品であり、疾病の診断、治療、予防を目的とするものではありません。</p>,四国ボタニカ,丸剤,丸剤,"featured, new, イヌトウキ, 丸剤",true,Title,通常,,,,0,shopify,30,deny,manual,3000,,true,true,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/srs-product-touki-pills.jpg?v=1777951060,1,イヌトウキ茶（丸剤）,イヌトウキ茶（丸剤）,,active
inutouki-tea-powder,イヌトウキ茶（粉末）,<p>愛媛県大洲市長浜・喜多灘産のイヌトウキを使った、日々に取り入れやすい粉末タイプのお茶です。</p><p>愛媛県大洲市長浜町（喜多灘・今坊）の畑で大切に育てたイヌトウキ（Angelica shikokiana）を粉末にしたお茶です。イヌトウキはセリ科シシウド属の四国固有種で、自然界では環境省レッドリスト絶滅危惧II類（VU）に指定される希少な植物です。肱川が伊予灘に注ぐ温暖で日照豊富な土地の畑で、野生採取ではなく栽培・継承しています。水またはお湯に溶かしやすく、毎日の一杯として取り入れやすい形です。食品であり、疾病の診断、治療、予防を目的とするものではありません。</p>,四国ボタニカ,粉末,粉末,"featured, new, イヌトウキ, 粉末",true,Title,通常,,,,0,shopify,30,deny,manual,2500,,true,true,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/srs-product-touki-powder.jpg?v=1777951045,1,イヌトウキ茶（粉末）,イヌトウキ茶（粉末）,,active
inutouki-tea-teabag,イヌトウキ茶（茶葉ティーバッグ）,<p>愛媛県大洲市長浜・喜多灘産のイヌトウキを、1袋ずつ手軽に楽しめるティーバッグタイプです。</p><p>愛媛県大洲市長浜町（喜多灘・今坊）産のイヌトウキ（四国固有種）を茶葉ティーバッグにした商品です。1袋ずつ扱える仕様で、セリ科植物特有の香りを手軽に毎日の一杯として楽しめます。食品であり、疾病の診断、治療、予防を目的とするものではありません。</p>,四国ボタニカ,お茶,お茶,"featured, new, お茶, イヌトウキ",true,Title,通常,,,,0,shopify,30,deny,manual,1500,,true,true,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/srs-product-touki-teabag.jpg?v=1777951076,1,イヌトウキ茶（茶葉ティーバッグ）,イヌトウキ茶（茶葉ティーバッグ）,,active
inutouki-tea-leaves,イヌトウキ茶（茶葉）,<p>愛媛県大洲市長浜・喜多灘産のイヌトウキ特有の芳香を、ゆっくり蒸らして引き出す茶葉タイプです。</p><p>愛媛県大洲市長浜町（喜多灘・今坊）産のイヌトウキ（四国固有種）を茶葉にした商品です。セリ科植物特有の豊かな芳香が特長で、湯を注いで待つ時間とともに香りを楽しめます。3から5分蒸らしてお召し上がりください。食品であり、疾病の診断、治療、予防を目的とするものではありません。</p>,四国ボタニカ,お茶,お茶,"featured, new, お茶, イヌトウキ",true,Title,通常,,,,0,shopify,30,deny,manual,1500,,true,true,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/srs-product-touki-leaves.jpg?v=1777951068,1,イヌトウキ茶（茶葉）,イヌトウキ茶（茶葉）,,active
inutouki-tea-tablets,イヌトウキ茶（錠剤）,<p>愛媛県大洲市長浜・喜多灘産の当帰を使った、外出先でも続けやすい錠剤タイプです。</p><p>愛媛県大洲市長浜町（喜多灘・今坊）産のイヌトウキ（四国固有種）を使用した錠剤タイプです。粉末を溶かす手間を少なくし、外出先でも取り入れやすい形です。食品であり、疾病の診断、治療、予防を目的とするものではありません。</p>,四国ボタニカ,錠剤,錠剤,"featured, new, イヌトウキ, 錠剤",true,Title,通常,,,,0,shopify,30,deny,manual,3000,,true,true,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/srs-product-touki-tablets.jpg?v=1777951053,1,イヌトウキ茶（錠剤）,イヌトウキ茶（錠剤）,,active
dokudami-touki-tea,ドクダミとトウキのお茶,<p>ドクダミと、愛媛県大洲市長浜産のイヌトウキ（当帰）を合わせたブレンドハーブティーです。</p><p>昔から暮らしの中で親しまれてきたドクダミと、愛媛県大洲市長浜町（喜多灘・今坊）産のイヌトウキ（当帰）を組み合わせたブレンドハーブティーです。国産原材料100%・無添加でお届けします。香りを楽しむ日々の一杯としてお召し上がりください。食品であり、疾病の診断、治療、予防を目的とするものではありません。</p>,四国ボタニカ,お茶,お茶,"featured, new, お茶, イヌトウキ",true,Title,通常,,,,0,shopify,30,deny,manual,1500,,true,true,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/srs-touki-dt.jpg?v=1777919169,1,ドクダミとトウキのお茶,ドクダミとトウキのお茶,,active
herbal-powder,和漢の養生粉,<p>毎日の湯や粥に少量ずつ加えられる、やわらかな香りの和漢粉末です。</p><p>乾かした根や葉を細かく挽き、白湯や粥に混ぜやすい粉末に仕立てました。食事の延長で取り入れられるよう、香りと口当たりを穏やかに整えています。</p>,山草のめぐみ,粉薬,粉薬,"featured, 粉薬",true,Title,通常,,,,0,shopify,7,deny,manual,4200,,true,true,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/main_808f3aa9-4d49-4168-8e6f-4603e8a100da.webp?v=1777380243,1,和漢の養生粉,和漢の養生粉,,active
herbal-powder,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/detail-01_e1333435-0c82-4ffd-b753-be89731e7833.webp?v=1777380243,2,和漢の養生粉,,,
herbal-powder,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/detail-02_a5bdac17-f189-4e43-b1ad-e1897cda32b4.webp?v=1777380243,3,和漢の養生粉,,,
